ISO,Language,n,Llama3-8B,Llama3-8B-it,Llama3-tülu3,Llama3-70B,Aya-8B-it,Aya-32B-it,Gemma3-4B,Gemma3-4B-it,Gemma3-12B,Gemma3-12B-it,Gemma3-27B,Gemma3-27B-it,OLMo2-32B,OLMo2-32B-it,EuLLM-9B,GPT2-xl,GF-500M
cat,Catalan,2284,94.8,93.3,94.4,96.1,88.8,95.1,94.7,85.3,96.2,90.5,96.4,92.6,90.9,90.2,95.5,65.0,97.7
chu,Church_Slavonic,4166,63.7,61.2,61.6,68.1,59.9,64.2,59.8,56.1,63.8,62.1,66.3,62.3,64.0,61.1,63.0,61.3,
xcl,Classical_Armenian,1623,70.0,67.7,65.6,75.4,60.7,69.6,67.3,58.7,73.2,61.6,76.9,70.5,66.4,65.1,64.1,57.7,
ces,Czech,4256,92.1,91.0,89.5,95.7,94.0,97.0,92.0,81.8,95.2,88.5,96.2,91.5,83.7,82.8,97.2,59.2,92.2
dan,Danish,50,100.0,98.0,98.0,100.0,96.0,100.0,100.0,86.0,100.0,98.0,100.0,100.0,90.0,88.0,100.0,88.0,100.0
nld,Dutch,2331,96.1,95.2,95.2,97.7,95.5,98.0,96.3,82.9,97.5,88.8,97.6,89.8,90.8,90.5,98.2,66.5,97.3
egy,Egyptian_(Ancient),22,50.0,45.5,50.0,45.5,45.5,50.0,45.5,50.0,40.9,45.5,50.0,45.5,45.5,40.9,40.9,40.9,
eng,English,770,99.4,99.4,98.6,99.0,99.0,98.4,98.2,93.4,99.0,95.6,98.6,96.0,99.5,99.1,99.4,98.3,96.4
myv,Erzya,464,52.2,55.2,55.6,56.9,53.9,54.1,51.9,50.6,46.3,44.4,52.6,46.3,57.1,55.8,55.2,54.7,73.7
est,Estonian,2575,79.6,77.6,76.3,86.7,62.7,74.9,87.8,73.3,92.7,85.1,95.4,89.3,71.3,70.6,94.4,56.0,96.2
fao,Faroese,232,79.7,82.8,80.2,88.4,62.5,75.9,81.9,69.8,87.9,83.6,94.8,89.7,83.2,78.4,74.6,56.0,99.6
fin,Finnish,2570,91.4,90.6,89.8,94.5,74.5,86.0,94.6,85.7,96.3,91.4,96.4,93.9,91.5,91.4,95.2,58.8,96.2
fra,French,2548,98.7,98.5,98.0,99.0,98.9,99.5,98.5,93.1,98.6,94.4,99.1,96.4,98.6,97.8,99.1,83.8,98.5
glg,Galician,753,89.9,87.8,86.6,92.3,82.5,89.6,91.8,80.5,94.7,83.7,94.7,88.8,84.3,83.9,95.2,66.5,98.3
kat,Georgian,204,97.5,95.6,96.1,96.6,90.2,95.6,96.1,83.8,93.6,84.8,94.6,94.1,87.3,87.3,95.1,88.7,96.6
deu,German,2298,98.0,97.8,97.2,99.0,98.4,98.9,98.0,87.6,98.7,92.3,98.8,94.1,97.3,97.0,98.8,76.8,98.0
aln,Gheg-Albanian,677,72.8,70.8,69.1,76.4,71.5,76.8,70.3,64.7,74.9,73.7,80.4,74.0,73.1,70.3,66.9,66.5,
got,Gothic,1579,68.3,63.4,66.9,75.4,58.2,63.4,53.5,51.0,56.5,56.0,55.9,56.0,63.7,62.5,60.4,60.2,
guj,Gujarati,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
heb,Hebrew,2330,88.1,88.5,85.7,90.0,85.9,90.9,86.2,74.6,87.2,79.7,90.7,84.1,80.1,78.1,71.2,63.3,85.9
azz,H-P_Nahuatl,207,69.1,69.6,62.8,67.1,64.3,70.5,66.2,65.7,65.7,65.2,65.7,66.2,65.2,67.1,72.5,72.0,
hin,Hindi,1447,99.3,99.0,99.2,99.3,99.4,99.6,98.3,96.1,98.5,97.7,99.2,98.5,98.3,98.3,99.0,67.2,98.7
hit,Hittite,50,62.0,50.0,62.0,66.0,48.0,52.0,46.0,44.0,50.0,42.0,46.0,46.0,58.0,62.0,36.0,56.0,
hun,Hungarian,845,97.3,96.2,96.0,99.2,82.0,90.4,97.2,85.7,98.7,93.0,99.1,94.7,88.0,86.4,98.3,72.7,97.5
isl,Icelandic,2801,85.3,82.8,82.9,91.0,68.1,81.7,90.3,74.7,94.6,86.7,96.0,90.6,79.7,79.3,67.8,63.4,98.4
gle,Irish,28,82.1,85.7,89.3,78.6,82.1,82.1,75.0,75.0,71.4,78.6,64.3,57.1,82.1,85.7,82.1,85.7,92.9
ita,Italian,2999,96.2,95.9,95.9,97.7,96.0,97.3,95.8,84.8,96.7,89.9,97.0,92.5,91.8,90.7,97.1,62.6,94.6
quc,K’iche’,131,69.5,70.2,63.4,65.6,62.6,71.0,58.8,64.1,61.1,71.0,61.8,62.6,65.6,67.2,78.6,69.5,
xnr,Kangri,86,77.9,76.7,74.4,74.4,75.6,79.1,77.9,72.1,76.7,76.7,73.3,75.6,74.4,67.4,74.4,60.5,
krl,Karelian,260,65.8,60.0,59.2,68.1,53.8,61.2,61.9,59.2,69.6,63.1,68.5,68.8,56.2,53.5,67.7,58.1,
kxh,Karo_(Ethiopia),120,45.0,43.3,45.8,45.0,52.5,40.0,48.3,56.7,43.3,43.3,50.0,45.0,40.0,40.8,47.5,40.8,
kaz,Kazakh,173,87.3,89.0,87.9,94.8,71.7,82.1,93.6,89.0,95.4,93.6,94.8,93.1,80.9,77.5,74.0,68.8,97.1
kir,Kirghiz,185,95.1,95.7,90.8,96.8,83.8,91.9,96.8,91.4,96.8,89.2,96.8,92.4,88.6,90.3,88.1,93.0,98.4
koi,Komi-Permyak,43,60.5,55.8,41.9,51.2,51.2,53.5,44.2,60.5,55.8,46.5,60.5,60.5,44.2,41.9,55.8,62.8,
kpv,Komi-Zyrian,320,68.4,63.1,61.3,77.2,61.9,66.9,55.9,56.2,66.2,54.7,69.4,60.0,54.4,55.0,51.6,57.8,70.9
lat,Latin,3149,87.0,85.3,84.5,92.1,74.8,85.1,77.5,65.3,84.3,75.2,87.6,81.6,84.7,83.8,84.7,60.5,90.7
lav,Latvian,3032,82.5,78.8,79.3,89.2,65.7,75.6,90.4,80.5,93.8,87.8,95.1,90.6,75.5,73.9,96.6,58.8,96.8
lij,Ligurian,254,72.8,78.7,73.2,77.2,68.1,80.3,72.4,61.8,80.7,68.1,81.5,79.9,59.1,56.7,70.9,70.9,94.5
lit,Lithuanian,1180,93.6,91.9,91.9,96.6,83.1,92.3,97.0,88.5,98.2,93.6,98.1,95.5,85.1,83.2,98.5,69.4,97.9
olo,Livvi,190,79.5,80.0,75.3,86.3,64.7,67.4,70.0,54.2,76.3,68.4,83.2,70.5,67.4,60.0,76.8,67.9,
nds,Low_German,1774,71.6,71.6,68.9,73.2,65.7,72.2,63.5,59.1,66.7,62.0,71.1,67.4,65.1,62.7,70.8,66.6,72.6
mkd,Macedonian,39,94.9,89.7,87.2,100.0,82.1,92.3,87.2,79.5,94.9,89.7,97.4,92.3,82.1,79.5,79.5,74.4,100.0
mar,Marathi,460,81.7,84.6,80.7,85.4,75.4,76.5,83.3,80.9,88.0,83.3,90.2,88.3,83.0,85.9,60.4,67.2,95.2
frm,Middle_French,294,96.9,96.6,96.9,98.3,91.5,94.2,93.9,75.5,97.3,88.8,95.6,91.2,96.9,93.9,96.9,77.6,
ell,Modern_Greek,1096,97.9,96.7,95.6,99.3,97.9,99.2,98.9,87.0,99.0,94.1,99.5,97.2,96.9,95.2,99.3,62.7,98.8
mdf,Moksha,82,56.1,56.1,47.6,43.9,52.4,56.1,54.9,51.2,54.9,52.4,56.1,58.5,50.0,50.0,51.2,43.9,70.7
yrl,Nhengatu,720,59.4,59.4,58.5,63.1,57.4,62.1,54.2,52.9,57.9,57.6,55.1,56.9,61.0,58.9,61.3,61.9,
pcm,Nigerian_Pidgin,26,92.3,100.0,84.6,96.2,92.3,100.0,96.2,92.3,100.0,88.5,100.0,92.3,96.2,100.0,92.3,100.0,100.0
kmr,Northern_Kurdish,544,85.7,83.6,82.9,91.2,63.8,71.3,79.2,72.1,89.9,82.9,90.6,84.7,65.8,67.5,61.8,56.2,94.7
sme,Northern_Sami,2536,68.2,68.8,67.3,71.7,63.3,67.5,65.8,61.6,70.0,67.0,72.5,69.4,66.0,63.7,66.2,65.8,96.9
fro,Old_French,1976,78.3,76.3,75.7,81.8,69.1,76.3,69.4,63.8,72.0,65.5,73.7,69.2,76.7,74.6,72.4,66.8,
orv,Old_Russian,4615,76.9,75.2,73.1,80.0,70.4,77.6,70.3,63.4,74.9,69.7,78.6,72.5,72.2,69.6,75.4,64.6,
ota,Ottoman_Turkish,99,96.0,93.9,94.9,97.0,94.9,91.9,92.9,81.8,97.0,92.9,96.0,91.9,89.9,89.9,99.0,81.8,
fas,Persian,2553,94.8,94.5,94.0,97.0,95.3,96.8,95.1,90.4,97.2,93.9,97.5,95.1,90.3,89.7,76.1,58.2,96.4
xpg,Phrygian,50,92.0,90.0,92.0,90.0,94.0,92.0,80.0,82.0,86.0,90.0,80.0,80.0,84.0,72.0,84.0,96.0,
pol,Polish,3272,93.9,92.9,92.0,96.7,94.2,97.6,95.6,88.0,97.9,92.7,98.8,95.1,85.9,85.1,97.3,60.8,96.3
por,Portuguese,3048,96.9,96.4,96.1,98.0,96.4,97.7,95.6,86.9,97.2,92.1,97.2,93.5,93.5,93.4,97.1,66.5,94.4
ron,Romanian,2056,95.4,94.4,93.6,97.4,96.1,97.4,95.7,87.1,97.3,92.6,97.7,94.7,92.0,91.4,97.7,59.9,96.5
rus,Russian,3832,97.4,96.3,96.1,98.6,96.7,98.2,96.9,90.6,98.1,94.3,98.5,96.6,94.1,93.3,98.2,59.4,94.5
san,Sanskrit,4442,76.2,73.3,74.1,81.4,59.7,68.7,64.0,60.2,70.6,62.9,74.2,66.4,78.4,74.8,67.4,58.0,78.5
gla,Scottish_Gaelic,66,92.4,92.4,95.5,98.5,93.9,90.9,92.4,87.9,97.0,86.4,97.0,95.5,98.5,93.9,87.9,93.9,97.0
hbs,Serbo-Croatian,3286,94.0,92.5,92.3,96.0,82.5,89.7,96.0,88.2,98.2,93.0,98.3,95.5,88.0,87.2,94.6,61.9,
sms,Skolt_Sami,263,78.3,77.2,77.6,74.9,76.8,78.3,71.5,65.4,71.1,66.5,64.3,64.6,73.0,71.1,77.9,80.6,
slk,Slovak,4145,85.5,83.9,82.4,91.8,82.9,90.2,92.7,82.5,95.6,88.9,95.7,92.0,77.2,76.9,96.3,54.0,95.2
slv,Slovenian,4483,86.4,84.6,83.0,91.3,75.4,85.4,90.1,76.2,93.0,86.0,94.2,88.7,82.1,79.3,93.9,58.4,93.6
spa,Spanish,2541,97.8,97.1,97.1,98.2,97.8,98.0,96.9,88.7,97.6,93.2,97.7,95.0,96.0,95.2,98.3,78.5,96.1
arb,Standard_Arabic,1215,91.0,91.8,89.9,94.5,94.7,96.0,92.9,77.2,94.2,84.6,95.4,90.8,87.3,86.4,93.6,74.3,95.2
swe,Swedish,201,100.0,99.5,98.0,100.0,96.5,100.0,100.0,96.5,100.0,98.5,100.0,99.5,99.5,99.0,99.5,97.5,100.0
tam,Tamil,382,97.9,98.4,96.6,98.7,98.4,98.2,96.6,96.1,97.1,96.3,97.9,97.6,96.9,96.9,90.8,75.7,98.2
ttc,Tektiteko,69,42.0,43.5,43.5,39.1,34.8,44.9,40.6,39.1,46.4,42.0,43.5,43.5,44.9,42.0,43.5,42.0,
tpn,Tupinambá,9,0.0,0.0,0.0,11.1,22.2,0.0,11.1,22.2,11.1,33.3,11.1,11.1,11.1,11.1,0.0,0.0,
tur,Turkish,1742,89.3,87.6,88.4,94.1,92.9,93.9,93.7,85.9,96.6,92.9,97.2,94.6,83.2,82.6,92.8,71.0,93.6
uig,Uighur,758,75.1,76.0,73.4,79.4,69.8,76.4,75.1,69.3,78.9,74.7,80.9,77.6,73.6,71.1,69.3,68.6,80.7
ukr,Ukrainian,2744,94.5,93.1,93.3,97.3,96.8,98.1,95.7,86.8,97.8,92.1,97.8,94.4,87.1,85.5,97.7,56.0,95.9
hsb,Upper_Sorbian,186,71.5,72.0,63.4,79.6,66.1,75.3,67.7,62.9,75.3,67.2,80.6,78.5,66.1,64.0,65.1,64.0,80.6
urd,Urdu,550,96.7,95.8,94.9,97.5,87.5,93.3,96.4,90.4,97.5,94.5,97.5,96.7,96.5,96.2,87.6,49.8,96.4
urb,Urubú-Kaapor,13,46.2,46.2,46.2,46.2,53.8,46.2,46.2,46.2,46.2,46.2,38.5,38.5,38.5,46.2,53.8,46.2,
uzb,Uzbek,50,94.0,92.0,90.0,100.0,86.0,94.0,100.0,98.0,100.0,98.0,100.0,100.0,88.0,86.0,86.0,74.0,100.0
vep,Veps,187,69.5,64.7,64.2,70.6,56.1,58.3,55.1,53.5,58.8,55.1,62.0,61.0,51.3,51.3,61.5,49.2,59.4
wbp,Warlpiri,12,25.0,8.3,25.0,8.3,16.7,16.7,25.0,16.7,41.7,16.7,25.0,16.7,16.7,25.0,41.7,25.0,
cym,Welsh,1120,90.2,89.6,87.7,94.0,84.6,91.8,84.4,75.9,88.2,85.4,90.3,88.1,90.0,89.8,75.3,65.6,99.4
hyw,Western_Armenian,1153,94.1,91.7,90.5,96.7,72.6,88.0,90.4,73.2,94.6,84.0,96.6,89.9,80.4,80.6,70.3,60.1,
wol,Wolof,705,85.0,82.8,82.0,86.1,75.5,83.4,76.7,74.3,79.4,70.8,85.0,69.2,82.0,83.8,82.6,83.3,97.0
sah,Yakut,144,78.5,73.6,74.3,82.6,75.0,76.4,72.9,71.5,79.9,72.9,88.2,73.6,77.8,75.7,72.9,79.2,95.8
nhi,Tenango_Nahuatl,38,52.6,57.9,44.7,55.3,55.3,47.4,52.6,44.7,55.3,42.1,44.7,47.4,55.3,50.0,36.8,47.4,
